bus-stop     公共汽车站
lucky        幸运的
lunch        午餐，午饭

madam        夫人，太太

Madrid       马德里

magazine     杂志
make         来源；制造
make the bed 铺床

make up      打扮

man          男人

manager      经理

many         许多的，很多的

March        3月
match        火柴
mathematics  数学
matter       事情，内容
May          5月

meal         饭食，(一)餐

mean         意指，意谓

measles      麻疹

meat         (食用)肉
mechanic     机修工，技工

medicine     药
meet         遇到，会见
member       成员

mess         杂乱，凌乱

middle-aged  中年的

mild         温和的，温暖的

mile         英里

milkman      送牛奶工人

-millionaire  百万富翁

mince        绞肉，肉馅
mink         貂皮
minute       分(钟)，瞬间
Miss         小姐

miss         惦念；未赶上
mistake      错误，过失，误会

model        型号，模型
moment       片刻，瞬间

Monday       星期一
month        月，一个月的时间
morning      早晨，上午

Moscow       莫斯科

mother       母

mouth        嘴，口
move         搬迁，移动
Mr           先生

Mrs          夫人
much         很多的；许多的
mum          妈妈
mumps        腮腺炎

must         必须，应当

name         名字

nationality 国籍
near         靠近；亲近的
nearly      几乎，将近
need         需要
neighbour   邻居
neither      也不

never        决不，从不
new          新的

New York     纽约市，纽约州

news         新闻，音信
newsagent    报纸杂志经销社

newspaper    报纸

next         与…邻接
nice         令人愉快的

Nigeria      尼日利亚

Nigerian     尼日利亚人
night        夜晚，黑夜
noise         闹声，声响
noon         中午

north        北方；北方的

Norway       挪威

Norwegian    挪威的

not…but…   不是…而是…

note         备忘录，记录

nothing      没有什么东西

November     11月
now          现在
nuisance     讨厌的人或事物

number       数(字，量，值)

nurse        护士

o'clock      点钟

October      10月
of course    当然

off          离开
offer        提供，提出

office       办公室，公司

officer      官员
old          老的，旧的
on a river   在河边
open         开着的；打开
opposite     对面的
orange       橘黄色的；橘子
other        别的，其余的
over         在…之上
overseas     海外的，国外的
overtake     追上
pack         包装，挤满

pad          衬垫，信笺簿

paint        上漆
pair         一双，一对
pardon       原谅
pardon       原谅

park         公园

parrot       鹦鹉
party        聚会，政党

pass         通过
passenger    乘客
passport     护照，执照

pea          豌豆

peach        桃

pear         梨

pen          (钢)笔
pence        便士(英货币)

pencil       铅笔
penny        便士

perhaps      或许，大概

person       人；人称
photograph   照片

phrase-book 成语录，短语录

picture      图画，照片
piece        片，块,

pilot        飞行员，领航员

pink         粉红色

pity         令人遗憾的事
place        放置；地方

plate        盘

platform     月台
pleasant     愉快的，适意的
pleasantly   愉快地
please       请

plenty       充足的，大量的

pocket       衣袋，钱袋，财力

Poland       波兰
policeman    警察
policewoman  女警察

Polish       波兰语；波兰的
pool         赌注，合伙份子
postman      邮递员

potato       土豆
pound        磅

powder       粉，粉末，火药
present      礼物
pretty       漂亮的，可爱的
price        价格，价钱，价
problem      问题

program      程序，节目

prosecute    处罚，对…起诉
pure         纯的
put          置放于某处

put on       穿上

quarter      四分之一，一刻钟
questions    询问，疑问，问题
quickly      快，迅速地

quiet        宁静的
quotient     商数，份额
race         比赛，赛跑，赛马

radio        收音机

rain         雨；下雨
read         阅读，读
ready        准备好的

recognize    认出，认识，承认

red          红的，红色的
refrigerator 冰箱

regard       问候，致意；注重
regularly    经常地，定期地
remain       保持，继续

remember     记住，想起

repair       修理，修补

reporter     记者
rest         其余者

restaurant   饭店，餐馆
retire       退休

return       回来；归还
rich         油腻的，味浓的
right        好的；右边
ripe         熟的，成熟的

rise         上升，站起

river        江，河
roast        烤过的

Rome         罗马

room         室，房间，场所

rubbish      垃圾

run          跑，奔，逃
run after    追逐

Russia       俄国，俄罗斯
Russian      俄国的，俄语的

rusty        生锈的
sad          悲哀的，糟透的
sale         卖，拍卖，销路

salesman     售货员，推销员
same         同样的
Saturday     星期六
say          说，讲，表明

school       学校
Scotch       苏格兰的
